Drug_ID,Month,Sales,LoE_Flag,Competitors_Entered,Marketing_Spend,Price,Inventory_Level,Regional_Factor,Economic_Conditions,Distribution_Costs,Physician_Access,Generic_Adoption_Rate,Hospital_Partnerships,Adherence_Rate
1,1,944.9765511,0,0,244.9227501,33.87400632,556.6662023,0.599974916,0.983699557,10.00562917,0.714293454,0.650888473,4,0.990972956
1,2,1051.543307,0,0,258.1106602,18.49356443,345.4599738,0.68340451,0.921696897,12.87134647,0.945556015,0.29122914,2,0.819958292
1,3,974.8956032,0,0,204.5965023,25.29847965,986.5847086,0.966762893,1.143976163,15.20461308,0.960399402,0.013264961,0,0.98968961
1,4,983.6132884,0,0,252.099337,22.18455077,278.1376912,1.184233027,0.976060997,6.830573523,0.996141528,0.034388521,0,0.777633994
1,5,873.4880886,0,0,180.0170053,31.86841117,347.8835644,1.469584628,1.110053129,19.09248412,1.31586188,0.597899979,3,0.713568187
1,6,1109.199226,0,0,131.3325827,25.54709159,417.0792254,1.328737509,0.942701331,9.214017645,1.034156867,0.140924225,4,0.722365193
1,7,1058.212279,0,0,232.251792,40.85081387,259.2357214,0.858465729,0.846347624,17.94655139,1.098638501,0.330898025,4,0.918881854
1,8,1088.774846,0,0,209.3893678,45.4885097,577.7719401,0.619594246,1.085297915,16.41177573,1.049021758,0.77096718,2,0.856819849
1,9,960.136161,0,0,76.97285675,11.25716743,709.128329,0.814355981,1.003428276,18.61349711,0.799433783,0.410382923,2,0.760918367
1,10,993.9135913,0,0,285.7133926,33.95461866,755.8279464,1.380467839,1.049741619,9.434505288,0.684395408,0.45653457,3,0.755971018
1,11,1009.707755,0,0,251.8600388,45.843652,454.40278,0.610051925,0.891174065,11.40661683,1.254411813,0.860730583,2,0.825223301
1,12,1096.864499,0,0,105.5269526,14.79461469,470.0921371,1.442909704,0.929281173,12.78185933,1.162415167,0.363629602,0,0.776174624
1,13,1081.787351,0,0,228.0676475,15.9234772,998.192388,0.766781014,1.190645982,11.1655552,0.626440586,0.345071248,0,0.771868567
1,14,894.5395531,0,0,86.22371802,29.57811041,988.5203633,0.742055272,1.068854219,16.42429423,0.790110035,0.728216349,4,0.889691749
1,15,1058.685709,0,0,72.57244251,43.41209982,456.624052,0.68651851,0.816310057,13.86339415,1.142051489,0.016587829,2,0.942850314
1,16,1219.045563,0,0,137.1664968,13.84706204,952.4186116,0.897572021,1.00710054,17.56565159,1.140552094,0.735216119,1,0.977408085
1,17,964.3254974,0,0,214.9960115,42.68888801,644.1606493,1.029650578,0.896740916,6.396541517,1.317772606,0.900418057,2,0.756612133
1,18,1055.61218,0,0,119.7178381,38.0143132,877.3289138,1.356324292,0.961803251,18.31655148,1.280742759,0.935634994,3,0.969566257
1,19,1029.307247,0,0,51.26539596,16.43232206,638.9870315,1.191895198,1.060784504,8.364039642,1.169743377,0.237249087,4,0.753646813
1,20,928.5648582,0,0,141.6171961,39.76682092,776.7519394,0.808060792,1.017016092,12.63221115,1.109066095,0.250461819,4,0.846022646
1,21,985.9101446,0,0,137.5196019,35.80413448,735.1392477,1.364167565,0.892074107,12.4879007,1.057603359,0.768554014,0,0.998365153
1,22,1087.216186,0,0,167.4861285,21.18241367,906.7952178,1.247718774,1.181228739,9.96125457,1.042211973,0.572292469,3,0.955902837
1,23,915.3206282,0,0,262.7841679,22.67688021,335.5941973,1.056801262,1.17446191,15.44044695,1.056048936,0.097176494,1,0.776249095
